Total:    16 | Class: 0 | [0,0,8,8,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 1 | [0,0,8,4,0,2,2] | Acc: 0.00 | Acc2: 0.00 | Time: 0.027
Total:    16 | Class: 2 | [0,0,6,6,0,1,3] | Acc: 37.50 | Acc2: 0.00 | Time: 0.026
Total:    16 | Class: 3 | [0,1,9,3,0,1,2] | Acc: 18.75 | Acc2: 0.00 | Time: 0.025
Total:    16 | Class: 4 | [0,0,5,7,0,2,2] | Acc: 0.00 | Acc2: 0.00 | Time: 0.025
Total:    16 | Class: 5 | [0,0,9,5,0,1,1] | Acc: 6.25 | Acc2: 0.00 | Time: 0.026
Total:    16 | Class: 6 | [2,0,9,4,0,1,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 0 | [0,0,0,0,0,16,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.037
Total:    16 | Class: 1 | [0,0,0,0,0,16,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.030
Total:    16 | Class: 2 | [0,0,0,0,0,16,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.032
Total:    16 | Class: 3 | [0,0,0,0,0,16,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.027
Total:    16 | Class: 4 | [0,0,0,0,0,16,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.026
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.026
Total:    16 | Class: 6 | [0,0,0,0,0,16,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 0 | [0,0,0,0,0,16,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.028
Total:    16 | Class: 1 | [0,0,0,0,0,16,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.025
Total:    16 | Class: 2 | [0,0,1,0,0,15,0] | Acc: 6.25 | Acc2: 0.00 | Time: 0.023
