################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images size   | (32,32)
# Architecure   | gtsd_1l
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,2.04,0.00,1.38,0.00,1.39,0.00,True
98.09,99.53,86.07,92.03,75.35,81.36,77.19,True
99.33,99.79,88.56,92.56,77.10,81.04,155.00,True
99.73,99.94,89.81,92.51,78.72,81.65,233.03,True
99.81,99.96,91.07,93.11,79.10,81.60,312.46,True
99.91,99.98,90.73,92.51,78.09,80.44,389.05,False
99.94,99.98,91.59,93.16,79.72,81.83,468.29,True
99.98,100.00,91.58,92.86,79.93,81.63,547.41,False
99.96,99.98,91.43,93.03,80.33,82.53,626.66,True
99.95,99.98,91.72,93.13,80.41,82.10,705.62,True
99.97,100.00,92.21,93.48,81.42,82.88,782.70,True
99.98,99.99,92.17,93.22,80.52,82.05,862.55,False
100.00,100.00,92.17,93.31,79.23,80.52,941.78,False
99.97,99.99,91.57,92.60,79.89,81.12,1019.72,False
100.00,100.00,91.79,92.96,81.32,82.82,1097.61,False
100.00,100.00,92.48,93.45,81.79,82.96,1174.81,True
100.00,100.00,92.20,93.31,82.19,83.32,1254.40,True
99.99,99.99,92.61,93.47,80.87,82.11,1331.72,True
100.00,100.00,91.73,92.69,80.57,81.73,1408.33,False
99.99,99.99,92.03,92.93,81.17,82.36,1488.53,False
100.00,100.00,92.23,93.10,81.16,82.29,1567.00,False
100.00,100.00,92.99,93.97,80.74,81.74,1644.06,True
99.99,100.00,92.61,93.45,82.03,82.91,1723.51,False
99.99,99.99,92.94,93.85,81.57,82.52,1802.05,False
99.98,99.99,91.68,92.65,80.94,81.94,1881.81,False
99.97,99.99,91.15,91.97,79.86,80.77,1959.89,False
100.00,100.00,92.50,93.07,81.33,82.28,2038.55,False
99.99,99.99,91.98,92.61,79.72,80.62,2117.93,False
100.00,100.00,92.59,93.24,81.16,81.97,2196.03,False
100.00,100.00,92.55,93.36,81.55,82.38,2272.90,False
100.00,100.00,92.78,93.34,82.05,82.78,2350.18,False
100.00,100.00,92.20,93.00,80.87,81.62,2428.69,False
100.00,100.00,92.43,92.95,81.24,81.99,2508.52,False
99.99,100.00,92.69,93.27,82.07,82.70,2586.91,False
100.00,100.00,92.99,93.40,80.86,81.29,2664.41,False
100.00,100.00,92.70,93.11,82.12,82.81,2744.08,False
100.00,100.00,92.14,92.71,80.60,81.36,2822.34,False
100.00,100.00,92.45,93.11,80.25,80.92,2898.94,False
100.00,100.00,92.76,93.21,81.20,81.84,2975.72,False
100.00,100.00,92.84,93.48,82.84,83.64,3052.37,True
99.99,99.99,92.43,92.83,82.17,82.78,3130.70,False
100.00,100.00,92.73,93.11,81.57,82.22,3208.46,False
100.00,100.00,91.80,92.41,81.32,82.03,3285.55,False
100.00,100.00,92.86,93.28,82.56,83.09,3363.92,False
100.00,100.00,92.52,93.04,81.38,81.91,3441.82,False
99.99,100.00,92.32,92.71,81.62,82.15,3519.76,False
100.00,100.00,92.41,92.88,80.75,81.23,3597.21,False
100.00,100.00,92.77,93.23,81.44,81.99,3674.51,False
100.00,100.00,92.93,93.36,81.37,82.03,3752.49,False
100.00,100.00,92.55,93.06,82.15,82.96,3829.85,False
100.00,100.00,92.74,93.17,82.15,82.67,3907.98,False
100.00,100.00,92.90,93.39,82.09,82.65,3987.57,False
99.99,99.99,92.86,93.30,81.67,82.13,4066.47,False
100.00,100.00,92.65,93.08,81.83,82.34,4144.06,False
100.00,100.00,92.71,93.05,81.64,82.04,4220.95,False
100.00,100.00,92.39,92.76,82.16,82.78,4298.19,False
100.00,100.00,92.86,93.33,81.43,81.91,4376.09,False
100.00,100.00,93.05,93.45,82.15,82.52,4453.19,True
100.00,100.00,92.48,92.80,81.80,82.19,4530.74,False
100.00,100.00,92.99,93.40,82.62,82.98,4609.59,False
100.00,100.00,92.97,93.23,82.46,82.82,4687.96,False
100.00,100.00,93.60,93.85,82.45,82.85,4765.31,True
100.00,100.00,92.63,93.04,81.29,81.61,4842.15,False
100.00,100.00,93.13,93.47,82.19,82.60,4920.04,False
100.00,100.00,92.83,93.18,82.37,82.85,4998.28,False
100.00,100.00,93.18,93.49,83.41,83.86,5075.19,True
100.00,100.00,92.91,93.17,83.16,83.48,5151.50,False
100.00,100.00,92.59,92.88,83.42,83.95,5231.33,True
100.00,100.00,93.14,93.32,81.42,81.73,5309.30,False
100.00,100.00,92.94,93.16,80.93,81.35,5386.94,False
99.99,99.99,91.92,92.28,80.77,81.16,5464.77,False
100.00,100.00,93.46,93.73,81.70,82.01,5543.58,False
100.00,100.00,92.63,92.94,82.88,83.37,5621.81,False
100.00,100.00,93.50,93.65,81.82,82.16,5700.63,False
100.00,100.00,92.99,93.29,82.61,82.95,5779.24,False
100.00,100.00,93.17,93.41,81.83,82.14,5857.71,False
100.00,100.00,92.31,92.52,81.34,81.63,5935.61,False
100.00,100.00,93.20,93.51,82.11,82.42,6012.51,False
100.00,100.00,93.60,93.86,82.90,83.23,6089.36,False
100.00,100.00,93.29,93.60,83.16,83.52,6167.59,False
