################ TRAINING REPORT #################
# Images path   | .\dataset\signals\train\
# Validation    | 0.30
# Images size   | (32,32)
# Architecure   | gtsd_2l
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,2.43,0.00,1.79,0.00,2.89,0.00,True
94.25,97.98,81.65,89.16,70.18,78.23,42.31,True
97.91,99.38,86.47,91.32,74.56,80.53,83.71,True
98.54,99.60,87.67,91.38,76.02,80.72,121.28,True
99.43,99.82,89.61,92.65,79.23,83.02,160.79,True
99.57,99.89,88.90,92.14,79.23,82.66,199.71,False
99.67,99.89,90.56,92.99,80.67,83.48,237.90,True
99.52,99.80,89.94,92.24,78.87,81.79,275.41,False
99.87,99.97,90.68,92.54,80.36,82.68,315.08,True
99.89,99.97,90.90,93.08,81.50,83.91,353.19,True
99.90,99.97,90.78,92.77,80.46,82.74,392.29,False
99.92,99.97,90.78,92.86,81.80,84.19,428.62,True
99.95,99.99,91.09,92.84,81.94,84.18,467.17,True
99.91,99.96,90.80,92.40,80.51,82.53,505.43,False
99.98,100.00,91.10,92.94,81.64,83.80,542.63,True
99.97,99.99,91.75,93.28,81.44,83.35,580.34,True
99.96,99.99,91.63,93.14,81.20,83.25,619.15,False
99.96,99.98,91.35,92.75,82.59,84.22,658.14,True
99.97,99.99,91.96,93.29,82.57,84.08,697.99,True
99.93,99.99,91.46,92.96,80.77,82.60,735.83,False
99.97,99.99,91.78,93.13,82.97,84.81,774.34,True
99.97,99.99,91.67,93.28,81.67,83.66,814.10,False
99.97,99.99,91.88,93.18,81.84,83.63,852.55,False
99.99,100.00,91.80,93.20,81.83,83.26,890.69,False
99.97,99.99,91.86,93.23,80.41,81.91,930.31,False
99.98,99.99,92.04,93.14,82.64,84.22,969.62,True
100.00,100.00,92.17,93.18,81.86,83.53,1009.61,True
99.96,99.98,91.71,92.81,81.45,83.01,1046.23,False
100.00,100.00,92.37,93.56,82.02,83.57,1084.97,True
99.99,100.00,91.61,93.02,82.48,84.08,1124.58,False
