################ TRAINING REPORT #################
# Images path   | .\dataset\signals\train\
# Validation    | 0.30
# Images size   | (32,32)
# Architecure   | gtsd_1l_8f_fc512
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,1.11,0.00,1.15,0.00,1.45,0.00,True
98.24,99.56,86.35,91.31,73.64,80.22,49.07,True
99.29,99.84,87.74,91.13,76.32,81.28,96.03,True
99.61,99.89,88.37,91.31,78.06,81.52,141.43,True
99.86,99.96,89.17,91.39,78.91,81.66,186.55,True
99.75,99.91,89.61,91.44,78.03,80.49,231.07,True
99.96,99.98,90.92,92.54,79.35,81.62,275.37,True
99.89,99.95,90.50,92.03,79.22,81.59,320.66,False
99.94,99.98,90.14,91.84,78.47,80.66,369.68,False
99.97,99.98,90.87,92.27,80.53,82.21,418.04,True
99.96,99.97,91.18,92.34,80.15,81.72,463.23,True
99.92,99.96,91.05,92.48,80.26,81.98,508.66,False
99.97,99.98,90.27,91.58,79.21,80.68,553.73,False
99.97,99.99,90.42,91.54,79.74,80.93,602.58,False
99.99,99.99,90.90,92.04,79.27,80.60,650.82,False
99.97,99.98,91.07,92.22,80.37,81.71,695.91,False
99.99,100.00,91.44,92.42,79.63,80.76,742.43,True
99.97,99.99,90.65,91.74,81.06,82.32,787.83,True
99.99,100.00,91.68,92.37,80.60,81.90,833.37,True
99.99,100.00,91.58,92.25,79.93,80.89,880.07,False
99.99,99.99,91.14,91.93,80.49,81.55,928.72,False
100.00,100.00,91.97,92.77,81.60,82.74,928.72,False
