################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images size   | (32,32)
# Architecure   | gtsd_4l
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,1.54,0.00,1.33,0.00,1.22,0.00,True
96.32,98.82,86.94,92.01,74.82,80.65,64.37,True
99.14,99.66,91.42,94.65,80.70,85.00,124.58,True
99.62,99.92,93.08,95.18,82.81,85.71,181.25,True
99.78,99.96,93.73,95.49,81.90,84.63,238.74,True
99.86,99.95,94.13,95.81,84.04,86.48,296.50,True
99.93,99.98,94.55,96.10,83.60,86.03,354.51,True
99.96,100.00,94.87,96.00,84.24,86.12,410.89,True
99.97,99.99,95.12,96.45,84.60,86.30,467.74,True
99.95,99.99,95.32,96.22,84.25,86.01,525.89,True
99.93,99.98,95.54,96.46,85.45,86.98,582.62,True
99.95,99.98,94.82,96.20,85.05,87.00,638.22,True
99.94,99.97,95.77,96.71,85.54,87.48,693.77,True
99.91,99.97,95.50,96.41,85.47,87.11,751.96,False
100.00,100.00,96.05,96.86,86.79,88.33,808.51,True
99.95,99.98,95.66,96.45,86.56,88.01,865.94,False
99.99,99.99,95.52,96.25,86.24,87.85,923.70,False
99.99,100.00,96.04,96.70,85.62,86.83,983.33,False
100.00,100.00,96.24,96.92,86.72,88.08,1041.44,True
99.97,99.99,95.75,96.59,86.91,88.29,1098.09,False
99.99,100.00,95.84,96.72,86.12,87.53,1155.42,False
99.99,100.00,96.37,97.02,87.94,89.23,1213.15,True
99.97,99.99,96.07,96.80,86.42,87.62,1270.64,False
99.99,99.99,96.01,96.81,86.44,87.81,1328.37,False
99.99,100.00,96.33,97.03,86.03,87.43,1384.91,False
99.96,99.99,96.22,96.82,86.62,87.82,1444.52,False
99.97,99.99,95.77,96.34,87.23,88.33,1502.03,False
99.99,100.00,96.37,97.02,87.94,89.23,1502.03,False
