################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images shape  | (32,32,3)
# Architecure   | gtsd_5l
# Batch size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,2.73,0.00,1.96,0.00,2.80,0.00,True
99.75,99.91,96.21,97.65,87.66,90.13,158.15,True
99.50,99.75,95.92,97.05,86.43,88.47,306.68,False
99.89,99.95,96.91,97.92,88.08,90.02,456.88,True
99.88,99.96,97.42,98.38,88.70,90.40,607.75,True
99.94,99.99,97.21,98.10,88.23,90.02,756.16,False
99.88,99.96,97.15,97.87,89.68,91.35,906.98,True
99.87,99.93,96.91,97.76,89.90,91.58,1054.40,True
99.93,99.98,97.21,97.95,90.79,92.08,1208.64,True
99.92,99.95,97.59,98.08,91.07,92.02,1358.87,True
99.87,99.90,97.68,98.16,91.13,92.00,1509.99,True
99.98,99.99,96.90,97.50,90.73,91.62,1658.20,False
99.99,100.00,98.11,98.39,91.54,92.24,1809.41,True
99.97,99.98,97.77,98.04,91.97,92.47,1959.05,True
99.99,99.99,98.01,98.27,92.03,92.65,2107.86,True
99.99,99.99,97.70,97.94,90.19,90.53,2258.31,False
99.98,99.98,98.20,98.36,91.42,91.66,2408.99,True
99.97,99.97,97.95,98.09,92.38,92.65,2557.76,False
99.97,99.97,98.08,98.24,91.74,92.05,2706.92,False
100.00,100.00,98.25,98.34,90.18,90.48,2860.27,True
99.99,99.99,98.07,98.24,91.82,92.04,3011.64,False
99.97,99.97,97.86,97.99,92.57,92.78,3162.88,True
100.00,100.00,97.83,97.87,92.56,92.64,3316.31,False
99.99,99.99,98.04,98.12,90.53,90.67,3467.27,False
99.98,99.98,98.04,98.16,91.33,91.49,3619.43,False
99.98,99.98,98.03,98.10,91.50,91.63,3772.93,False
100.00,100.00,98.11,98.14,92.76,92.85,3921.64,True
99.99,99.99,98.21,98.22,91.24,91.33,4074.62,False
99.97,99.97,98.16,98.21,90.68,90.70,4225.10,False
99.98,99.98,97.89,97.91,91.12,91.19,4374.00,False
99.99,99.99,97.80,97.82,90.44,90.49,4524.65,False
99.95,99.96,97.61,97.61,89.75,89.75,4677.62,False
99.97,99.97,98.00,98.03,90.62,90.62,4824.37,False
99.98,99.98,97.82,97.84,90.22,90.22,4978.46,False
99.93,99.93,97.95,97.98,90.70,90.73,5130.27,False
99.95,99.95,97.96,97.96,89.33,89.35,5282.14,False
99.96,99.96,98.10,98.10,91.58,91.58,5435.98,False
99.91,99.91,98.05,98.06,91.31,91.31,5590.32,False
99.88,99.88,98.15,98.15,89.02,89.03,5739.14,False
99.84,99.84,97.72,97.72,89.84,89.86,5888.53,False
99.81,99.81,98.08,98.08,89.09,89.10,6038.03,False
99.81,99.81,97.49,97.49,91.07,91.08,6191.81,False
99.82,99.83,97.63,97.63,90.03,90.06,6340.53,False
99.82,99.82,97.48,97.48,92.83,92.83,6494.64,False
99.79,99.79,96.77,96.77,89.15,89.15,6643.96,False
99.93,99.93,98.21,98.22,91.16,91.17,6796.84,False
99.69,99.69,97.23,97.23,90.61,90.62,6944.59,False
99.56,99.56,96.79,96.80,86.73,86.74,7088.43,False
100.00,100.00,98.11,98.14,92.76,92.85,7088.43,False
