################ TRAINING REPORT #################
# Images path   | ./dataset/digits/digits_v7/training/
# Validation    | 0.30
# Images shape  | (64,64,1)
# Architecure   | gtsd_1l
# Batch size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,8.61,0.00,6.75,0.00,10.26,0.00,True
100.00,100.00,91.89,92.95,88.86,90.86,18.80,True
100.00,100.00,92.18,94.48,90.74,90.74,33.99,True
100.00,100.00,91.72,94.52,88.11,88.36,50.53,False
100.00,100.00,93.54,95.03,88.36,90.99,67.35,True
100.00,100.00,92.14,94.18,88.36,90.99,83.09,False
100.00,100.00,93.25,94.65,88.11,88.36,100.11,False
100.00,100.00,94.65,95.03,88.36,90.99,115.68,True
100.00,100.00,91.16,94.14,88.36,88.49,132.24,False
100.00,100.00,93.12,94.48,90.99,90.99,147.85,False
100.00,100.00,93.37,96.26,88.49,91.11,162.97,True
100.00,100.00,92.06,95.37,88.11,91.11,179.57,False
100.00,100.00,92.95,94.48,88.49,91.11,196.19,False
100.00,100.00,93.67,94.99,85.86,88.49,211.54,False
100.00,100.00,89.00,95.03,88.11,88.49,227.60,False
100.00,100.00,89.59,94.05,90.74,90.99,243.95,False
100.00,100.00,92.52,95.79,90.74,90.99,260.24,False
100.00,100.00,93.08,95.37,88.11,91.11,276.23,False
100.00,100.00,92.14,95.75,88.24,91.11,289.93,False
100.00,100.00,92.78,95.24,88.24,91.11,306.53,False
100.00,100.00,93.59,94.77,90.74,90.86,322.64,False
100.00,100.00,93.25,96.39,88.24,91.11,339.09,False
100.00,100.00,92.95,95.37,87.61,91.11,355.52,False
100.00,100.00,92.01,95.37,90.74,91.11,370.72,False
100.00,100.00,92.65,96.09,89.99,90.24,387.85,False
100.00,100.00,93.12,96.26,90.86,91.11,403.78,False
100.00,100.00,92.06,95.33,90.74,90.86,419.11,False
100.00,100.00,91.59,95.28,89.86,90.86,435.69,False
100.00,100.00,91.16,94.82,89.86,89.99,452.49,False
100.00,100.00,92.52,95.28,89.86,89.99,467.91,False
100.00,100.00,91.89,94.82,87.23,89.99,482.57,False
100.00,100.00,91.59,94.77,89.86,89.99,497.36,False
100.00,100.00,93.37,96.26,88.49,91.11,497.36,False
