################ TRAINING REPORT #################
# Images path   | ./dataset/fabric/side64/training/
# Validation    | 0.30
# Images shape  | (64,64,3)
# Architecure   | gtsd_1l
# Batch size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,15.58,0.00,16.16,0.00,16.88,0.00,True
90.91,98.33,77.92,95.24,77.06,94.37,11.14,True
99.07,100.00,93.36,98.70,91.77,97.40,21.02,True
99.81,99.94,94.08,97.69,93.07,98.27,30.80,True
99.57,99.88,95.24,98.27,94.37,97.40,40.65,True
100.00,100.00,98.12,99.28,95.67,97.40,50.54,True
100.00,100.00,95.96,98.85,94.81,97.84,60.28,False
99.94,100.00,96.68,98.12,97.40,99.13,70.07,True
100.00,100.00,97.98,98.41,96.97,97.84,79.95,False
100.00,100.00,98.41,99.28,97.84,99.57,89.77,True
100.00,100.00,97.40,98.99,97.40,98.70,99.59,False
100.00,100.00,94.08,97.40,93.94,96.54,109.47,False
100.00,100.00,99.42,100.00,99.57,100.00,119.36,True
100.00,100.00,98.27,99.28,96.97,99.13,129.28,False
100.00,100.00,99.28,99.57,98.70,99.57,138.92,False
100.00,100.00,99.57,99.86,98.27,100.00,148.95,True
100.00,100.00,99.57,99.86,98.27,100.00,148.95,True
