################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images size   | (32,32,1)
# Architecure   | resnet
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.01,0.84,0.00,0.67,0.00,0.61,0.00,True
94.47,98.00,87.74,93.84,81.79,88.50,392.47,True
99.99,100.00,97.88,98.70,89.81,92.19,758.46,True
99.02,99.74,95.33,97.55,87.85,92.58,1124.41,True
62.27,76.86,58.94,72.70,49.33,64.35,1490.74,False
98.23,99.54,94.24,97.21,83.75,89.63,1859.60,False
98.31,99.50,94.51,97.61,85.23,90.64,2222.81,False
95.58,98.43,91.98,96.04,85.09,91.72,2595.19,False
99.35,99.87,96.57,98.50,88.69,93.14,2967.42,True
97.62,99.00,94.51,96.88,81.99,87.06,3336.30,False
99.38,99.90,95.79,97.88,86.91,92.16,3705.58,False
96.30,98.98,92.34,96.18,84.63,92.00,4074.49,False
99.66,99.94,96.13,98.09,87.96,92.73,4444.65,False
99.05,99.70,95.31,97.78,83.06,87.52,4815.68,False
98.21,99.48,94.23,97.65,86.18,92.47,5179.38,False
100.00,100.00,98.43,99.01,92.89,94.96,5551.13,True
100.00,100.00,98.49,99.07,92.41,94.50,5920.65,True
100.00,100.00,98.49,99.04,92.39,94.54,6285.05,False
100.00,100.00,98.38,99.00,92.07,94.34,6655.90,False
100.00,100.00,98.44,99.13,92.76,95.08,7028.50,True
99.99,100.00,98.43,99.03,92.63,95.16,7400.76,True
100.00,100.00,98.50,99.12,92.16,94.43,7766.93,True
100.00,100.00,98.50,99.12,92.16,94.43,7766.93,True
