################ TRAINING REPORT #################
# Images path   | .\dataset\digits\digits_v7\training\
# Validation    | 0.30
# Images size   | (64,64)
# Architecure   | digits
# Bacth Size    | 512
# Snap/Epoch    | 1
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,3.94,0.00,2.29,0.00,3.38,0.00,True
12.66,72.58,8.67,67.59,6.01,67.21,9.11,True
80.39,94.82,75.28,88.28,68.84,83.48,14.45,True
88.52,95.89,82.88,92.40,80.35,87.11,20.00,True
90.71,99.80,82.12,95.24,80.85,93.74,25.31,True
98.94,99.47,91.21,96.47,93.37,94.12,31.09,True
98.63,99.93,90.65,96.60,87.36,94.12,36.72,False
96.22,99.93,85.39,97.20,85.98,94.12,42.01,False
98.74,99.93,89.55,96.98,84.98,94.12,47.00,False
99.78,99.95,88.62,97.37,89.86,94.12,51.75,False
99.40,99.95,89.04,97.03,88.36,91.36,56.87,False
98.78,99.93,87.85,97.37,85.48,94.12,61.86,False
98.80,99.93,90.40,97.37,89.86,94.12,66.71,False
99.01,99.93,88.83,98.43,86.36,94.74,71.49,True
99.14,99.95,89.34,97.20,90.74,94.12,76.40,False
98.96,99.95,88.74,96.94,87.86,94.12,81.31,False
99.64,99.95,89.25,97.20,88.61,94.12,86.42,False
97.79,99.95,84.83,97.54,85.86,94.12,91.92,False
98.41,99.95,85.56,97.37,87.23,94.12,96.92,False
98.65,99.95,83.01,97.03,84.36,93.99,101.78,False
98.78,100.00,87.68,98.60,90.11,94.74,106.60,False
99.14,100.00,84.79,98.17,86.11,94.74,111.46,False
97.97,100.00,84.66,97.11,84.61,94.12,116.30,False
97.92,99.95,81.01,97.54,85.11,96.75,121.05,True
99.82,100.00,85.85,97.75,85.11,96.87,125.84,True
98.58,100.00,83.35,98.17,83.85,94.74,130.65,False
99.69,99.95,82.75,98.26,85.48,94.62,135.54,False
99.23,100.00,88.19,98.26,88.74,94.62,140.44,False
97.30,100.00,85.26,97.83,83.10,94.62,145.37,False
99.07,100.00,81.99,98.60,83.23,94.74,150.37,False
99.34,100.00,88.23,98.60,90.36,94.74,155.25,False
99.32,100.00,83.69,98.00,85.11,97.37,160.42,True
97.32,100.00,80.63,98.00,84.61,94.74,165.38,False
98.65,100.00,84.62,98.00,83.73,97.37,170.19,False
98.92,100.00,82.16,98.17,85.98,94.74,175.09,False
96.75,99.78,80.59,98.17,80.73,97.37,179.98,False
98.30,99.95,87.47,98.00,84.86,97.37,184.71,False
98.14,100.00,82.29,97.11,81.35,96.75,189.52,False
93.09,100.00,76.00,97.11,75.72,96.75,194.65,False
96.84,100.00,81.01,98.17,75.34,94.74,199.44,False
98.16,100.00,82.75,98.00,82.23,94.74,204.65,False
92.10,100.00,79.10,96.94,71.71,94.12,209.60,False
86.86,100.00,73.62,98.17,64.21,97.37,214.46,False
98.60,100.00,83.60,98.17,79.97,94.74,219.31,False
93.19,100.00,74.64,98.17,74.34,97.37,224.15,False
95.37,100.00,79.48,98.00,78.22,97.37,229.09,False
97.08,100.00,78.80,97.66,74.97,97.25,233.98,False
96.46,100.00,79.01,96.60,76.60,96.62,238.80,False
99.05,100.00,85.85,96.94,80.60,96.75,243.67,False
98.98,100.00,83.86,98.00,75.22,97.37,248.59,False
96.79,100.00,80.37,98.00,74.72,97.37,253.52,False
93.21,100.00,77.82,98.00,70.34,97.37,258.49,False
87.99,100.00,70.60,98.00,65.21,94.74,263.39,False
88.47,100.00,76.00,96.73,63.45,94.74,268.14,False
87.68,100.00,73.83,97.83,66.46,94.62,272.99,False
94.34,100.00,73.36,98.00,70.09,94.74,277.81,False
94.76,100.00,73.28,97.83,72.22,94.62,282.64,False
95.57,100.00,80.25,97.83,77.60,94.62,287.39,False
94.00,100.00,78.55,97.83,71.71,94.62,292.17,False
88.54,100.00,64.70,97.83,65.71,94.62,297.02,False
88.47,100.00,77.15,97.66,71.46,94.62,301.86,False
86.30,100.00,69.54,98.26,73.84,94.62,306.73,False
86.01,100.00,67.76,97.58,59.70,94.74,311.50,False
80.13,100.00,64.32,98.17,55.57,97.37,316.53,False
82.94,100.00,67.37,98.17,62.45,92.12,321.40,False
90.46,100.00,70.99,98.17,69.71,97.37,326.60,False
88.58,100.00,70.31,97.24,75.72,97.25,331.79,False
91.08,100.00,74.68,97.66,69.96,91.99,336.73,False
92.94,100.00,73.36,97.83,75.47,94.62,341.70,False
94.40,100.00,79.06,97.83,72.22,94.62,346.54,False
88.58,100.00,73.75,98.17,75.84,94.74,351.94,False
90.26,100.00,76.55,97.11,75.84,94.12,357.29,False
93.83,100.00,78.55,98.17,75.97,94.74,362.50,False
96.97,100.00,88.53,98.17,80.98,94.74,367.31,False
89.35,100.00,78.59,97.11,72.22,94.12,372.60,False
98.70,99.95,85.00,98.00,83.10,92.12,377.72,False
97.43,99.98,84.54,98.17,75.09,94.74,382.70,False
97.54,100.00,83.73,96.60,82.23,93.99,388.25,False
96.46,99.98,86.75,97.37,85.98,94.12,393.26,False
97.72,100.00,86.28,98.00,89.11,94.74,398.11,False
94.40,100.00,85.30,97.66,85.98,91.99,403.02,False
99.12,100.00,90.82,98.00,89.74,92.12,407.91,False
98.92,100.00,88.02,97.66,88.61,91.99,412.93,False
98.92,100.00,89.21,97.66,89.24,94.62,417.82,False
90.80,100.00,83.09,96.22,81.48,91.36,422.65,False
99.25,100.00,91.25,96.77,89.86,91.36,427.45,True
99.87,100.00,93.29,96.77,85.23,91.36,432.36,True
98.78,100.00,90.10,96.77,86.73,91.36,437.78,False
98.41,100.00,89.59,96.69,89.11,91.36,443.21,False
99.53,100.00,92.78,96.77,89.86,91.36,448.29,False
99.38,100.00,93.71,96.77,90.24,91.36,453.29,True
99.05,100.00,91.50,96.77,86.98,91.36,458.27,False
99.62,100.00,92.61,96.77,90.11,91.36,463.12,False
100.00,100.00,94.35,96.77,90.74,91.36,467.95,True
99.64,100.00,93.16,97.11,87.86,91.49,472.91,False
99.42,100.00,94.10,97.03,90.49,91.49,477.69,False
99.69,100.00,94.39,96.77,90.74,91.36,482.54,True
99.49,100.00,94.05,97.11,90.24,91.49,487.42,False
99.01,100.00,94.31,98.17,90.24,92.12,492.34,False
99.73,100.00,94.90,96.77,90.49,91.36,497.17,True
99.76,100.00,92.14,96.77,89.74,91.36,502.04,False
97.39,100.00,88.91,96.77,86.48,91.36,506.97,False
100.00,100.00,93.97,96.77,90.49,91.36,511.86,False
100.00,100.00,94.60,96.77,90.49,91.36,516.81,False
99.87,100.00,94.35,96.77,90.49,91.36,521.79,False
100.00,100.00,95.07,96.77,90.74,91.36,527.16,True
100.00,100.00,94.86,97.83,90.74,91.99,532.39,False
100.00,100.00,94.73,97.83,90.49,91.99,537.56,False
100.00,100.00,95.67,98.17,90.99,92.12,542.73,True
100.00,100.00,95.20,97.83,90.74,91.99,547.78,False
100.00,100.00,94.94,97.83,90.74,91.99,553.37,False
99.73,100.00,93.37,96.77,90.49,91.36,558.51,False
99.95,100.00,92.52,96.77,90.11,91.36,563.72,False
100.00,100.00,95.07,97.11,90.74,91.49,568.79,False
100.00,100.00,93.93,97.11,90.49,91.49,573.99,False
100.00,100.00,95.79,98.17,91.11,92.12,579.22,True
100.00,100.00,94.99,98.17,90.74,92.12,585.05,False
100.00,100.00,94.90,97.11,90.74,91.49,590.44,False
100.00,100.00,94.99,98.17,90.74,92.12,595.89,False
99.87,100.00,93.76,97.83,90.49,92.12,601.00,False
100.00,100.00,93.50,98.00,90.11,92.12,606.08,False
100.00,100.00,91.84,96.77,89.86,91.36,611.46,False
100.00,100.00,92.86,96.69,90.11,91.36,616.49,False
99.73,100.00,91.93,96.60,90.11,91.36,621.74,False
99.54,100.00,93.08,96.05,89.36,91.11,627.26,False
99.76,99.76,94.01,96.60,89.36,90.36,632.54,False
99.74,100.00,91.76,98.00,89.11,94.74,637.59,False
98.83,99.95,91.50,95.84,90.11,96.62,643.20,False
90.93,99.87,86.07,97.58,83.35,94.74,648.58,False
93.52,99.95,85.68,96.09,77.35,91.36,653.82,False
94.23,100.00,89.38,95.96,82.10,96.37,659.12,False
98.89,99.78,90.61,97.11,89.86,91.49,664.40,False
99.11,99.95,90.02,96.73,89.86,91.49,669.71,False
97.77,100.00,87.34,96.22,86.36,91.36,674.57,False
99.29,100.00,90.91,96.73,88.61,94.12,679.89,False
100.00,100.00,91.84,97.54,90.11,94.12,685.06,False
100.00,100.00,95.24,97.11,93.37,94.12,689.86,False
99.85,100.00,93.08,97.24,90.86,94.74,694.81,False
99.54,99.98,89.12,96.35,87.86,93.99,699.77,False
99.64,100.00,91.38,97.54,88.61,94.12,704.89,False
99.73,100.00,92.10,97.11,89.24,91.36,710.29,False
99.98,100.00,93.50,96.73,89.61,91.36,715.18,False
99.95,100.00,96.60,97.83,91.36,94.62,720.03,True
99.51,100.00,92.06,96.22,89.99,91.36,725.17,False
99.87,100.00,89.38,96.22,89.36,91.36,730.12,False
100.00,100.00,91.84,97.20,88.11,93.99,735.29,False
99.87,100.00,93.54,97.03,90.24,91.36,741.01,False
99.60,100.00,93.03,97.03,89.99,91.36,746.28,False
99.73,100.00,94.69,97.37,90.74,91.49,751.44,False
99.87,100.00,93.97,97.03,90.74,91.36,756.65,False
100.00,100.00,93.25,97.20,89.99,91.36,761.82,False
99.87,100.00,94.48,98.00,90.74,92.12,767.13,False
99.87,100.00,94.31,96.94,90.49,91.36,772.27,False
99.87,100.00,93.93,96.94,90.49,91.36,777.47,False
100.00,100.00,93.12,97.03,90.24,91.36,782.69,False
100.00,100.00,94.52,97.03,90.74,91.36,787.86,False
100.00,100.00,94.77,97.03,90.49,91.36,793.18,False
100.00,100.00,93.93,97.20,88.74,91.36,798.33,False
100.00,100.00,94.35,97.20,90.49,91.36,803.53,False
100.00,100.00,94.90,96.77,90.74,91.36,808.88,False
100.00,100.00,93.97,96.77,90.49,91.36,814.39,False
100.00,100.00,93.63,96.77,90.49,91.36,819.28,False
100.00,100.00,94.18,96.81,90.49,91.36,824.53,False
