################ TRAINING REPORT #################
# Images path   | .\dataset\kylberg\training\
# Validation    | 0.30
# Images size   | (64,64)
# Architecure   | kylberg
# Bacth Size    | 32
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,16.43,0.00,16.11,0.00,17.92,0.00,True
84.80,95.44,80.46,93.06,79.58,93.33,15.77,True
98.65,99.80,93.52,96.57,91.67,96.25,28.40,True
99.96,100.00,94.72,96.85,96.25,97.92,41.49,True
100.00,100.00,95.37,97.69,95.83,97.92,54.22,True
100.00,100.00,96.39,98.15,97.50,98.33,66.94,True
100.00,100.00,95.09,97.41,95.83,97.50,79.66,False
100.00,100.00,96.94,98.15,97.50,97.92,92.28,True
100.00,100.00,96.57,98.24,97.08,98.33,105.40,False
100.00,100.00,97.41,98.43,97.92,98.33,118.85,True
100.00,100.00,97.50,98.43,97.08,97.92,131.89,True
100.00,100.00,97.22,98.06,97.92,98.75,145.56,True
100.00,100.00,97.04,98.61,98.33,98.75,158.17,False
100.00,100.00,96.67,98.24,98.33,99.17,170.56,True
100.00,100.00,97.13,98.61,96.67,98.75,183.20,False
100.00,100.00,97.31,98.61,97.50,99.17,195.69,False
100.00,100.00,97.31,98.61,97.08,98.33,208.16,False
100.00,100.00,97.22,98.15,95.83,97.50,220.82,False
100.00,100.00,96.39,97.31,96.25,98.75,233.29,False
100.00,100.00,96.85,98.15,96.67,97.08,245.65,False
100.00,100.00,97.22,97.59,95.83,97.92,258.12,False
100.00,100.00,96.20,97.78,95.42,97.08,270.61,False
100.00,100.00,97.69,98.80,95.83,98.33,282.99,True
100.00,100.00,97.41,99.07,95.42,97.08,295.48,False
100.00,100.00,96.76,97.96,95.00,98.33,307.89,False
100.00,100.00,96.30,97.78,95.42,99.17,320.26,False
100.00,100.00,96.94,98.24,95.42,97.50,332.64,False
100.00,100.00,97.04,98.33,96.67,97.92,345.49,False
100.00,100.00,96.02,97.87,94.17,98.33,357.88,False
100.00,100.00,97.41,98.89,96.25,97.92,370.26,False
100.00,100.00,96.30,97.96,97.08,98.33,382.87,False
100.00,100.00,96.94,98.52,96.25,98.75,395.54,False
100.00,100.00,96.85,98.61,96.25,98.33,408.17,False
100.00,100.00,96.76,97.96,95.42,97.92,421.47,False
100.00,100.00,97.41,98.70,97.08,98.33,434.31,False
100.00,100.00,96.67,98.06,95.83,97.50,446.76,False
100.00,100.00,97.41,98.61,95.83,97.92,459.43,False
100.00,100.00,96.67,98.52,94.58,98.33,472.04,False
100.00,100.00,96.67,98.15,93.33,97.92,484.53,False
100.00,100.00,96.39,97.87,95.00,97.92,496.86,False
100.00,100.00,97.04,98.33,97.08,98.33,509.33,False
100.00,100.00,97.41,98.98,96.25,97.92,521.98,False
100.00,100.00,97.31,98.61,96.25,97.50,534.52,False
100.00,100.00,97.50,98.52,96.67,98.33,547.48,False
100.00,100.00,97.31,98.43,96.25,99.17,560.43,False
100.00,100.00,98.06,98.70,96.25,98.75,572.92,True
100.00,100.00,98.06,98.70,96.25,98.75,572.92,True
