################ TRAINING REPORT #################
# Images path   | ./dataset/digits/digits_v7/training/
# Validation    | 0.30
# Images size   | (64,64)
# Architecure   | mnist
# Bacth Size    | 512
# Snap/Epoch    | 5
# Max epochs    | 500
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
0.00,9.82,0.00,13.55,0.00,10.26,0.00,False
0.00,7.63,0.00,7.65,0.00,7.76,31.13,False
2.54,44.94,0.55,49.07,1.63,47.68,58.25,True
7.66,70.53,3.99,69.54,5.88,64.08,87.11,True
30.16,77.81,31.01,69.37,32.92,74.34,115.61,True
55.72,80.68,53.70,78.12,52.57,78.60,143.78,True
73.47,89.20,69.67,81.52,65.83,81.73,171.76,True
85.84,97.08,75.19,86.66,72.72,91.99,199.62,True
78.80,94.89,70.14,86.92,65.46,85.23,228.25,False
89.51,97.63,77.10,89.04,81.60,90.36,256.13,True
94.45,99.38,85.98,92.82,83.35,90.36,285.64,True
95.18,99.67,84.07,91.38,88.24,90.74,314.38,True
96.33,99.80,86.15,93.25,83.85,88.99,342.55,True
95.27,98.72,84.15,90.82,78.10,87.86,370.28,False
98.05,99.38,91.21,94.39,87.61,87.98,399.37,True
99.20,99.87,84.32,92.01,84.48,90.61,427.65,False
99.80,99.87,90.87,94.52,91.86,92.62,454.72,True
99.73,99.89,90.23,93.97,90.49,93.24,484.18,False
99.73,99.87,91.55,94.56,86.11,90.86,513.90,True
99.73,99.93,90.91,95.07,92.24,92.62,542.33,True
99.87,99.87,92.35,94.14,89.36,89.99,570.86,True
99.47,99.67,89.72,94.69,87.86,91.61,598.92,False
99.87,99.87,88.74,93.54,85.23,91.49,627.76,False
99.87,99.93,87.94,93.63,89.61,93.24,656.16,False
99.82,99.89,89.21,93.93,85.36,91.74,684.43,False
99.87,99.89,88.11,92.78,87.61,91.36,712.13,False
99.87,99.95,89.21,92.61,88.24,91.61,739.96,False
99.87,99.95,87.51,91.55,92.12,93.12,767.83,False
99.87,99.95,88.06,92.78,87.86,94.12,795.27,False
99.87,99.93,90.78,94.73,90.86,96.37,822.41,True
99.87,99.95,90.14,95.07,93.37,96.12,849.78,True
99.87,99.95,90.57,95.03,87.48,90.86,877.09,False
99.87,99.95,92.69,95.62,88.24,90.86,904.35,True
99.87,99.95,90.53,95.45,87.98,93.49,932.59,False
99.87,99.95,88.57,94.86,91.99,93.49,960.88,False
99.87,99.95,87.81,93.29,89.74,93.37,988.87,False
99.87,99.95,88.74,95.67,86.98,90.86,1017.81,False
99.89,99.95,93.16,95.62,92.87,93.49,1046.53,True
99.87,99.95,90.36,94.27,87.36,90.74,1075.53,False
99.87,99.95,90.53,94.35,89.99,93.49,1103.63,False
99.87,100.00,90.06,94.94,89.86,90.86,1132.27,False
